114 485,09 60,1
115 485,01 69,75
116 484,92 62,9
117 484,84 67,7
118 484,76 65,1
119 484,67 69,5
120 484,59 63,8
121 484,51 69,1
122 484,42 62,25
123 484,34 71,4
124 484,26 62,05
125 484,17 66,55
126 484,09 60,25
127 484,01 68,5
128 483,92 60,5
129 483,84 65,95
130 483,76 64,6
131 483,67 71,6
132 483,59 63,6
133 483,51 61,55
134 483,42 64,1
135 483,34 65,25
136 483,26 59,95
137 483,17 68,55
138 483,09 59,45
139 483,01 68,6
140 482,92 62,1
141 482,84 65,95
142 482,76 64,1
143 482,67 70,4
144 482,59 60,9
145 482,51 66,15
146 482,42 58,25
147 482,34 72,15
148 482,26 60,95
149 482,17 67,9
150 482,09 59,9
151 482,01 66,85
152 481,92 60,9
153 481,84 70,1
154 481,76 59,65
155 481,67 66,9
156 481,59 59,55
157 481,51 63,55
158 481,42 58,3
159 481,34 65,1
160 481,26 61,05
161 481,17 68,85
162 481,09 55,15
163 481,01 64,65
164 480,92 64,1
165 480,84 68,9
166 480,76 60,9
167 480,67 73,4
168 480,59 61,5
169 480,51 67,9
170 480,42 63,65
171 480,34 68,65
172 480,26 64,85
173 480,17 68,15
174 480,09 64,75
175 480,01 70,8
176 479,92 64,65
177 479,84 69,3
178 479,76 63,4
179 479,67 74,9
180 479,59 67,2
181 479,51 68,3
182 479,42 66,9
183 479,34 75,8
184 479,26 68,9
185 479,17 69
186 479,09 63,25
187 479,01 73,5
188 478,92 64,3
189 478,84 76,7
190 478,76 69,45
191 478,67 75,15
192 478,59 71,2
193 478,51 73,25
194 478,42 68,95
195 478,34 74,7
196 478,26 70,35
197 478,17 74,1
198 478,09 66,95
199 478,01 80,5
200 477,92 72,15
201 477,84 74,85
202 477,76 68,7
203 477,67 76,25
204 477,59 69,95
205 477,51 78,85
206 477,42 75,15
207 477,34 80,1
208 477,26 72,8
209 477,17 75,55
210 477,09 71,1
211 477,01 78,9
212 476,92 75,4
213 476,84 75,15
214 476,76 74,8
215 476,67 83,65
216 476,59 73,55
217 476,51 78,95
218 476,42 72,5
219 476,34 78,55
220 476,26 80,6
221 476,17 82,7
222 476,09 78,65
223 476,01 81,4
224 475,92 81,1
225 475,84 87,1
226 475,76 75,3
